City,Country,Date,Max Temp,Cloudiness,Humidity,Lat,Lng,Wind Speed
Ushuaia,AR,1592927928,33.8,90,90,-54.8,-68.3,5.23
Albany,US,1592928039,86.0,74,51,42.6,-73.97,9.19
São Filipe,CV,1592928146,81.34,6,58,14.9,-24.5,15.64
Qaanaaq,GL,1592928039,37.76,8,87,77.48,-69.36,0.87
Kalmunai,LK,1592928071,83.73,100,75,7.42,81.82,5.68
Kapaa,US,1592928035,75.2,20,83,22.08,-159.32,12.75
Omsukchan,RU,1592928146,57.18,0,75,62.53,155.8,2.51
Rikitea,PF,1592928037,69.66,92,52,-23.12,-134.97,10.94
Saldanha,ZA,1592928045,66.2,0,52,-33.01,17.94,4.7
Talnakh,RU,1592928033,60.8,36,55,69.49,88.4,6.71
Bastogne,BE,1592928146,79.0,0,54,50.0,5.72,1.01
Fortuna,US,1592928039,64.0,1,87,40.6,-124.16,5.17
Hermanus,ZA,1592928041,59.0,28,81,-34.42,19.23,10.8
Boa Viagem,BR,1592927946,85.06,0,49,-5.13,-39.73,8.41
Cayenne,GF,1592928048,82.4,75,78,4.93,-52.33,4.7
Vao,NC,1592928077,72.37,26,85,-22.67,167.48,8.48
Yaan,NG,1592928147,84.92,70,66,7.38,8.57,4.52
Safranbolu,TR,1592928147,70.3,52,74,41.25,32.69,4.79
Mataura,NZ,1592928033,39.0,8,83,-46.19,168.86,3.0
Rocha,UY,1592928051,69.21,99,89,-34.48,-54.33,13.02
Thompson,CA,1592927915,69.8,20,64,55.74,-97.86,4.7
College,US,1592928065,50.0,90,93,64.86,-147.8,6.93
Codrington,AU,1592928044,52.84,58,89,-38.27,141.97,2.89
Olafsvik,IS,1592928046,51.21,14,71,64.89,-23.71,7.83
New Norfolk,AU,1592928041,53.01,100,91,-42.78,147.06,1.99
Padang,ID,1592928094,79.03,99,73,-0.95,100.35,4.97
Bengkulu,ID,1592928034,76.6,99,86,-3.8,102.27,6.67
Kruisfontein,ZA,1592928069,53.29,0,79,-34.0,24.73,1.57
Ribeira Grande,PT,1592928037,69.8,40,73,38.52,-28.7,12.75
Chokurdakh,RU,1592928038,59.86,32,42,70.63,147.92,6.53
Lorengau,PG,1592928052,81.66,53,77,-2.02,147.27,4.61
Lappeenranta,FI,1592928029,82.99,0,27,61.06,28.19,3.36
Bambous Virieux,MU,1592928055,71.6,40,83,-20.34,57.76,8.05
Jamestown,US,1592927776,73.99,75,78,42.1,-79.24,9.17
Bayeux,BR,1592927998,84.2,40,62,-7.12,-34.93,13.87
Punta Arenas,CL,1592928042,39.2,52,75,-53.15,-70.92,21.92
Arraial do Cabo,BR,1592928006,82.4,40,51,-22.97,-42.03,16.11
Broken Hill,AU,1592928148,50.0,90,71,-31.95,141.43,9.55
Bredasdorp,ZA,1592928040,62.6,34,63,-34.53,20.04,3.65
Ixtapa,MX,1592928096,86.0,75,62,20.7,-105.2,2.86
Esperance,AU,1592928040,55.4,75,82,-33.87,121.9,16.11
Ivaiporã,BR,1592928149,76.12,0,49,-24.25,-51.68,9.53
Yar-Sale,RU,1592928149,49.84,50,61,66.83,70.83,9.73
Kamwenge,UG,1592928149,69.33,79,77,0.19,30.45,2.35
Klaksvík,FO,1592928036,53.6,24,87,62.23,-6.59,13.87
Khatanga,RU,1592928072,69.19,75,60,71.97,102.5,6.08
Souillac,MU,1592928053,71.6,40,83,-20.52,57.52,8.05
Pangoa,PE,1592928149,83.26,90,53,-12.12,-73.0,2.19
Saskylakh,RU,1592928035,77.34,72,35,71.92,114.08,7.31
Port Elizabeth,ZA,1592928008,64.4,0,55,-33.92,25.57,8.05
Cape Town,ZA,1592927939,62.6,19,59,-33.93,18.42,12.75
Nikolskoye,RU,1592928035,75.99,0,36,59.7,30.79,11.18
Chernyshevskiy,RU,1592928150,52.29,52,92,63.01,112.47,3.87
Ancud,CL,1592928071,45.0,75,100,-41.87,-73.82,6.93
Atuona,PF,1592928048,78.73,6,71,-9.8,-139.03,17.22
Burgos,ES,1592928150,93.0,20,20,42.34,-3.71,4.7
Nome,US,1592928057,46.4,20,61,64.5,-165.41,6.93
Gharavŭtí,TJ,1592928150,89.6,20,27,37.57,68.45,4.47
Vaini,TO,1592928037,71.6,20,94,-21.2,-175.2,4.7
Ponta do Sol,PT,1592928055,73.4,40,69,32.67,-17.1,9.17
Lagoa,PT,1592928048,60.96,99,78,39.05,-27.98,16.64
Eenhana,NA,1592928150,80.6,0,18,-17.47,16.33,8.05
Kalemie,CD,1592928150,74.28,3,58,-5.95,29.19,2.48
Mogadishu,SO,1592928090,78.93,23,86,2.04,45.34,17.38
Chivolo,CO,1592928151,86.92,98,66,10.03,-74.62,9.31
Hasaki,JP,1592928052,70.0,75,94,35.73,140.83,4.7
Cabo San Lucas,MX,1592928004,91.4,5,7,22.89,-109.91,5.82
Ahipara,NZ,1592928079,58.96,99,89,-35.17,173.17,12.15
Puerto El Triunfo,SV,1592928151,91.4,1,74,13.28,-88.55,2.24
Ocean City,US,1592928058,82.4,1,61,39.28,-74.57,8.05
Kahului,US,1592928093,71.6,20,68,20.89,-156.47,8.05
Sri Aman,MY,1592928151,77.0,100,100,1.24,111.46,1.12
Burns Lake,CA,1592928151,54.25,77,72,54.23,-125.75,3.91
Saint Paul Harbor,US,1592928028,48.2,90,93,57.79,-152.41,5.82
Busselton,AU,1592928037,55.99,76,76,-33.65,115.33,13.96
Castro,BR,1592927920,71.17,81,58,-24.79,-50.01,8.3
Ingham,US,1592928151,71.6,75,78,42.6,-84.38,8.05
Ust'-Ishim,RU,1592928152,52.18,13,75,57.69,71.17,3.09
Avarua,CK,1592928043,75.2,64,78,-21.21,-159.78,12.75
Humaitá,BR,1592928152,95.2,25,38,-7.51,-63.02,2.1
Bluff,NZ,1592928048,39.0,35,83,-46.6,168.33,3.0
Palmer,US,1592928152,87.01,40,55,42.16,-72.33,9.17
Puerto Ayora,EC,1592928036,73.4,75,78,-0.74,-90.35,12.75
Hobart,AU,1592927845,53.01,90,93,-42.88,147.33,9.17
Yefremov,RU,1592928152,57.94,100,93,53.15,38.1,8.46
Krasnosel'kup,RU,1592928046,55.24,42,62,65.7,82.47,4.5
Tiksi,RU,1592928055,51.12,5,70,71.69,128.87,4.56
Luau,AO,1592928152,72.27,0,29,-10.71,22.22,2.01
Valera,VE,1592928152,87.57,48,44,9.32,-70.6,2.35
Zhezkazgan,KZ,1592928080,67.5,0,44,47.8,67.71,21.09
Iqaluit,CA,1592928044,46.4,75,70,63.75,-68.51,16.11
Monteagudo,BO,1592928153,90.01,0,20,-19.82,-63.98,5.44
Pevek,RU,1592928056,31.3,99,99,69.7,170.31,9.51
Batetskiy,RU,1592928153,74.52,0,52,58.65,30.3,3.2
Yeniseysk,RU,1592928153,61.11,72,67,58.45,92.17,1.97
Trairi,BR,1592928153,81.72,55,61,-3.28,-39.27,11.59
Tuatapere,NZ,1592928068,39.0,42,83,-46.13,167.68,3.0
Moose Factory,CA,1592928061,53.6,75,81,51.26,-80.61,10.29
Mar del Plata,AR,1592927833,55.4,75,82,-38.0,-57.56,6.93
Tura,IN,1592928070,76.71,99,93,25.52,90.22,5.46
Ovalle,CL,1592928153,59.95,100,66,-30.6,-71.2,2.17
Pingshan,CN,1592928153,79.59,97,89,22.99,114.71,3.36
Bathsheba,BB,1592928052,87.8,40,66,13.22,-59.52,20.8
El Salvador,SV,1592928154,91.4,36,59,13.83,-88.92,2.24
Chui,UY,1592928048,69.85,79,83,-33.7,-53.46,10.74
Lerwick,GB,1592928154,60.8,20,82,60.15,-1.15,12.75
Saquena,PE,1592928154,82.58,54,79,-4.67,-73.52,2.64
Ferkessédougou,CI,1592928154,96.37,2,34,9.6,-5.2,4.52
East London,ZA,1592928040,72.99,0,37,-33.02,27.91,4.47
Butaritari,KI,1592928044,82.74,10,76,3.07,172.79,15.66
Birjand,IR,1592928072,91.4,20,11,32.87,59.22,9.17
Amapá,BR,1592928154,80.1,89,92,1.0,-52.0,2.75
Goderich,CA,1592928007,70.0,100,85,43.75,-81.72,7.34
Nola,IT,1592928154,86.0,0,34,40.92,14.53,3.0
George Town,MY,1592928039,84.2,20,83,5.41,100.34,3.36
Dudinka,RU,1592928055,60.8,32,55,69.41,86.18,6.71
Ketchikan,US,1592927968,53.6,90,100,55.34,-131.65,11.41
Fort Nelson,CA,1592928154,59.0,40,58,58.81,-122.7,5.82
Flinders,AU,1592928063,53.01,8,66,-34.58,150.86,10.0
Nemuro,JP,1592928056,51.33,100,96,43.32,145.57,13.47
Carnarvon,AU,1592928049,62.6,0,82,-24.87,113.63,8.05
Sitka,US,1592928043,51.8,75,93,57.05,-135.33,2.93
Dikson,RU,1592928040,38.23,58,86,73.51,80.55,13.15
Tuktoyaktuk,CA,1592928052,37.4,90,93,69.45,-133.04,23.04
Upernavik,GL,1592928056,35.62,64,86,72.79,-56.15,10.71
Saint-Philippe,RE,1592928036,71.6,11,73,-21.36,55.77,18.34
Kwang Binh,VN,1592928155,83.71,88,73,17.48,106.6,5.66
Port Alfred,ZA,1592928048,64.0,0,58,-33.59,26.89,4.0
Uddiawan,PH,1592928155,75.99,100,82,16.56,121.15,1.01
Bilma,NE,1592928077,107.53,0,6,18.69,12.92,8.63
Toamasina,MG,1592927896,73.4,20,88,-18.17,49.38,3.69
Aripuanã,BR,1592928155,92.28,8,38,-9.17,-60.63,3.38
Lompoc,US,1592927977,57.2,90,87,34.64,-120.46,5.37
Cidreira,BR,1592928065,75.18,3,59,-30.18,-50.21,6.38
General Roca,AR,1592928080,44.6,75,65,-39.03,-67.58,2.24
Alzamay,RU,1592928156,60.96,81,87,55.56,98.66,2.64
Narsaq,GL,1592928054,59.0,20,54,60.92,-46.05,8.05
Aljezur,PT,1592928156,80.01,2,54,37.32,-8.8,7.74
Pa Sang,TH,1592928156,77.0,75,94,18.53,98.94,1.12
Sainte-Anne-des-Monts,CA,1592928156,68.81,100,86,49.12,-66.49,2.28
Norman Wells,CA,1592928040,53.6,75,93,65.28,-126.83,5.82
Ilulissat,GL,1592928047,39.2,75,86,69.22,-51.1,5.82
Saint Anthony,US,1592928004,70.0,90,64,45.02,-93.22,11.41
Provideniya,RU,1592928052,39.49,11,73,64.38,-173.3,6.4
Gallup,US,1592928156,75.2,1,14,35.53,-108.74,3.36
Necochea,AR,1592928069,54.0,99,90,-38.55,-58.74,4.0
Hithadhoo,MV,1592928040,84.69,100,76,-0.6,73.08,10.38
Departamento de Maldonado,UY,1592928157,68.0,90,93,-34.67,-54.92,9.17
Akodia,IN,1592928157,78.49,98,79,23.38,76.6,4.88
Safaga,EG,1592928157,100.4,0,16,26.73,33.94,16.11
Fairbanks,US,1592927926,50.0,90,93,64.84,-147.72,6.93
Vostok,RU,1592928058,53.83,100,100,46.49,135.88,3.65
Drinovci,BA,1592928157,80.6,40,42,43.35,17.35,13.87
Karratha,AU,1592928055,68.52,0,50,-20.74,116.85,4.47
Palora,EC,1592928157,68.0,90,88,-1.7,-77.93,1.12
Bayevo,RU,1592928157,63.48,100,71,53.28,80.77,4.29
Khani,GE,1592928157,87.8,57,55,41.96,42.96,6.93
Guerrero Negro,MX,1592927898,66.06,100,76,27.98,-114.06,9.06
Celestún,MX,1592928157,86.05,100,68,20.87,-90.4,11.5
Santa Cruz de La Palma,ES,1592928157,78.8,20,57,28.68,-17.76,16.11
Bucerías,MX,1592927950,87.01,75,62,20.75,-105.33,2.35
Husavik,IS,1592928158,59.0,20,47,66.04,-17.34,11.41
Gigmoto,PH,1592928158,81.27,87,83,13.78,124.39,7.74
Rawson,AR,1592928006,51.55,3,44,-43.3,-65.1,9.13
Lebu,CL,1592928034,50.09,100,79,-37.62,-73.65,10.63
Yellowknife,CA,1592927891,68.0,40,76,62.46,-114.35,14.99
Barrow,US,1592928034,33.8,90,86,71.29,-156.79,4.7
Port Blair,IN,1592928158,83.1,88,79,11.67,92.75,7.85
Fuquay-Varina,US,1592928158,84.99,78,100,35.58,-78.8,1.99
Touros,BR,1592928158,82.4,62,65,-5.2,-35.46,9.17
Aykhal,RU,1592928037,69.8,0,35,66.0,111.5,6.71
Baker City,US,1592928146,68.0,1,56,44.77,-117.83,1.59
Collie,AU,1592928158,55.99,14,76,-33.37,116.15,5.7
Airai,TL,1592928053,54.14,19,100,-8.93,125.41,3.27
Hilo,US,1592928045,68.0,40,77,19.73,-155.09,8.05
Kazachinskoye,RU,1592928158,60.64,1,73,57.7,93.28,1.83
Praia,CV,1592928159,89.6,0,40,14.92,-23.51,21.92
Hobyo,SO,1592928089,78.98,14,78,5.35,48.53,29.17
Itarema,BR,1592928038,85.21,21,58,-2.92,-39.92,15.28
Camacha,PT,1592928080,69.8,75,73,33.08,-16.33,17.22
Tasiilaq,GL,1592928057,48.2,75,66,65.61,-37.64,1.12
Ofakim,IL,1592928159,82.0,0,60,31.31,34.62,3.0
Sierra Vista,US,1592928159,84.2,1,13,31.55,-110.3,6.93
Kyra,RU,1592928159,55.9,100,91,49.58,111.98,3.22
Bratsk,RU,1592928159,64.4,35,72,56.13,101.61,4.47
Dunedin,NZ,1592928018,46.99,27,84,-45.87,170.5,4.32
Candolim,IN,1592928159,82.2,0,82,15.52,73.76,9.44
Te Anau,NZ,1592928160,40.68,59,89,-45.42,167.72,0.83
Kavaratti,IN,1592928070,84.04,99,78,10.57,72.64,12.03
Champerico,GT,1592928160,81.5,95,75,14.3,-91.92,4.23
Grand-Santi,GF,1592928160,82.72,96,87,4.25,-54.38,1.43
Pochutla,MX,1592928160,78.8,90,78,15.74,-96.47,11.41
Mehrān,IR,1592928160,93.2,0,13,33.12,46.16,9.17
Bijāwar,IN,1592928160,88.95,82,55,24.63,79.5,0.45
Mankato,US,1592928160,68.0,90,77,44.16,-94.0,11.41
Jedburgh,GB,1592928160,68.0,100,72,55.48,-2.55,12.62
Plymouth,US,1592928160,84.99,1,69,41.83,-70.83,6.93
Sinnamary,GF,1592928059,80.85,83,85,5.38,-52.95,8.37
Mount Gambier,AU,1592928034,51.8,90,100,-37.83,140.77,4.7
Iskateley,RU,1592928038,40.86,100,69,67.68,53.15,11.36
Krechevitsy,RU,1592928161,74.52,0,50,58.62,31.4,2.62
Anau,PF,1592928161,77.99,53,79,-16.52,-151.73,17.09
Khislavichi,RU,1592928161,69.12,46,84,54.19,32.16,7.92
Puerto Escondido,MX,1592928161,80.6,90,78,15.85,-97.07,5.82
Torbay,CA,1592928070,79.0,20,69,47.67,-52.73,17.22
Cap Malheureux,MU,1592928054,71.01,3,77,-19.98,57.61,3.0
Lishui,CN,1592928161,79.54,98,85,28.46,119.91,1.66
Pedro Carbo,EC,1592928161,82.4,40,65,-1.83,-80.23,5.82
Edd,ER,1592928161,90.18,100,52,13.93,41.69,6.93
Mafinga,TZ,1592928073,77.16,7,39,-7.25,35.07,5.3
St. George's,GD,1592928161,87.8,20,62,12.06,-61.75,11.41
Mount Isa,AU,1592928018,44.6,0,48,-20.73,139.5,6.93
Barabai,ID,1592928162,72.57,84,93,-2.58,115.38,2.53
Almaznyy,RU,1592928162,87.8,20,40,48.04,40.05,8.95
Sept-Îles,CA,1592927932,68.0,75,72,50.2,-66.38,4.7
Sobolevo,RU,1592928162,70.05,56,83,54.43,31.9,7.16
Olinda,BR,1592928036,84.2,40,66,-8.01,-34.86,13.87
Barstow,US,1592928162,87.01,1,26,34.9,-117.02,11.41
Nichinan,JP,1592928162,71.38,78,77,31.6,131.37,0.6
Presidente Venceslau,BR,1592928069,77.0,100,38,-21.88,-51.84,9.17
Hong Kong,HK,1592927957,86.0,85,74,22.29,114.16,10.0
Richards Bay,ZA,1592928162,66.49,0,64,-28.78,32.04,7.2
Havøysund,NO,1592928082,57.2,96,81,71.0,24.66,6.93
Cravo Norte,CO,1592928162,82.45,80,81,6.3,-70.2,8.99
Maragogi,BR,1592928047,80.22,5,74,-9.01,-35.22,13.58
Vila Franca do Campo,PT,1592928162,66.2,75,88,37.72,-25.43,10.29
Salamanca,ES,1592928163,96.8,20,16,40.83,-6.0,2.24
Khorixas,NA,1592928163,74.52,0,19,-20.37,14.97,10.13
Kumul,CN,1592928026,79.99,54,14,42.8,93.45,5.75
Petropavlovsk-Kamchatskiy,RU,1592928163,51.8,94,100,53.05,158.65,6.71
Anlu,CN,1592928163,71.98,90,88,31.17,112.58,4.76
Coquimbo,CL,1592928064,57.2,90,82,-29.95,-71.34,3.36
Darhan,MN,1592928087,57.92,49,78,49.49,105.92,7.65
Staines-upon-Thames,GB,1592928163,82.4,0,34,51.43,-0.51,9.17
Miran Shah,PK,1592928125,97.18,0,16,33.01,70.07,5.93
Batagay-Alyta,RU,1592928163,63.9,82,66,67.8,130.41,3.31
Korla,CN,1592927863,87.26,75,16,41.76,86.15,20.94
Aksarka,RU,1592928163,52.68,89,58,66.56,67.8,4.07
Molėtai,LT,1592928164,75.0,75,56,55.23,25.42,6.93
Nuuk,GL,1592928040,50.0,20,46,64.18,-51.72,5.82
Neuquén,AR,1592928064,44.6,75,65,-38.95,-68.06,2.24
Skellefteå,SE,1592928164,77.0,94,53,64.75,20.95,3.36
Sabang,ID,1592928056,83.82,100,72,5.89,95.32,12.33
Longyearbyen,SJ,1592928073,48.2,20,66,78.22,15.64,5.82
Diamantina,BR,1592928164,70.23,43,36,-18.25,-43.6,6.06
Cocobeach,GA,1592928164,80.6,20,78,1.0,9.58,6.93
Gashua,NG,1592928164,100.94,27,18,12.87,11.05,4.47
Tabas,IR,1592928164,100.4,0,10,33.6,56.92,11.41
Solnechnyy,RU,1592928164,47.25,94,91,50.72,136.63,3.06
Dawei,MM,1592928164,80.1,100,83,14.08,98.2,1.74
Nieuw Amsterdam,SR,1592928165,86.0,40,70,5.88,-55.08,7.63
Bethel,US,1592927776,84.0,20,58,41.37,-73.41,13.87
Tazovsky,RU,1592928066,48.18,100,63,67.47,78.7,7.45
Sechura,PE,1592928165,73.04,32,61,-5.56,-80.82,7.76
Lata,PT,1592928058,87.01,0,51,40.16,-8.33,8.03
Cherskiy,RU,1592928078,39.76,48,72,68.75,161.3,9.62
Les Escoumins,CA,1592928165,74.1,71,69,48.11,-69.02,6.93
Mayo,US,1592928165,84.2,1,78,38.89,-76.51,10.29
Alice Springs,AU,1592927978,39.2,0,60,-23.7,133.88,3.36
Solymár,HU,1592928165,79.0,27,40,47.59,18.93,13.0
Gusino,RU,1592928165,70.84,74,82,54.72,31.37,7.9
Lüderitz,NA,1592928046,73.4,0,40,-26.65,15.16,4.7
Dapaong,TG,1592928166,94.5,22,36,10.86,0.2,8.08
Saint-Pierre,RE,1592928004,71.6,2,73,-21.34,55.48,18.34
Port Hawkesbury,CA,1592928166,78.01,75,73,45.62,-61.35,8.05
Kaitangata,NZ,1592928044,46.99,50,84,-46.28,169.85,4.07
Vestmannaeyjar,IS,1592928166,51.8,75,81,63.44,-20.27,28.86
São João da Barra,BR,1592928070,78.8,97,41,-21.64,-41.05,11.41
Hamilton,US,1592928063,75.99,75,88,39.18,-84.53,8.05
Lázaro Cárdenas,MX,1592928089,88.74,68,55,17.96,-102.2,1.72
Pisco,PE,1592928064,64.99,75,77,-13.7,-76.22,6.93
Khovd,MN,1592928060,60.35,0,32,48.01,91.64,1.52
Corat,AZ,1592928166,86.0,0,51,40.57,49.71,6.93
Sisimiut,GL,1592928075,43.11,6,65,66.94,-53.67,8.55
Paita,PE,1592928166,71.6,19,68,-5.09,-81.11,12.75
Constitución,CL,1592928042,53.98,91,75,-35.33,-72.42,7.99
Charters Towers,AU,1592928167,54.3,0,55,-20.1,146.27,6.73
Khakhea,BW,1592928167,56.37,0,39,-24.69,23.49,4.56
Sādri,IN,1592928167,83.01,100,55,25.18,73.43,10.51
Serowe,BW,1592928167,58.01,0,41,-22.38,26.72,6.13
Severo-Kuril'sk,RU,1592928064,45.12,53,86,50.68,156.12,11.07
Viedma,AR,1592928034,53.83,0,42,-40.81,-63.0,13.18
Mezen',RU,1592928167,41.49,98,67,65.85,44.24,11.77
Yuncheng,CN,1592928167,73.72,7,68,35.02,110.99,4.12
Carbonia,IT,1592928167,91.4,20,48,39.17,8.52,9.17
Faanui,PF,1592928045,77.99,55,79,-16.48,-151.75,17.2
Tønder,DK,1592928168,71.01,0,59,54.93,8.87,8.05
